license_number,public_name,vendor_id,name_source,is_public_dispensary,city,state
C10-0001577-LIC,CALI LOVE 101,e1c84d33-eb29-4128-89f5-79f329c78045,name_column,yes,Salinas,CA
C10-0001578-LIC,Purplez,25991fe0-b4ba-40d4-a6a1-5d43e86c39bc,name_column,yes,Santa Rosa,CA
C10-0001580-LIC,Sundial Collective,a657d846-66cf-448e-af6d-8789d4f3a1ba,name_column,yes,Woodland,CA
C10-0001581-LIC,8278,eb1ff07d-bc2c-4dde-b9d6-2248e8e4bb4f,name_column,yes,Long Beach,CA
C10-0001582-LIC,Green Qween West Hollywood,0f480e33-3381-4047-9d36-ca5f5d8c19d6,name_column,yes,W Hollywood,CA
C10-0001583-LIC,Tree House,9435847c-f6be-4460-8636-e7af8aaee1c3,name_column,yes,Los Angeles,CA
C10-0001584-LIC,Virgil FG,329cfb22-54cc-46f9-89ad-1326425c1854,name_column,yes,Los Angeles,CA
C10-0001585-LIC,"MJ DIRECT-LOMPOC, INC.",41e90739-8de2-49b3-b7cb-02063f74aeae,name_column,yes,Lompoc,CA
C10-0001586-LIC,395 High Sky LLC,f9c2d081-bbc9-46c3-9ebf-d104d950d795,name_column,yes,Adelanto,CA
C10-0001587-LIC,STIIIZY Ashlan,516191d4-95f3-4865-936b-f1285a9ca773,name_column,yes,Fresno,CA
C10-0001588-LIC,CC INDUSTRY LLC,d9fdd25f-39e8-4937-b7b5-8e063facff58,name_column,yes,Cathedral CTY,CA
C10-0001589-LIC,The Ganjery,ef7b8c58-8fe0-4786-a137-a00572736bdf,name_column,yes,Arcata,CA
C10-0001590-LIC,High Way,2ed5d111-9dcc-48f1-a8d4-32be8a6e026b,name_column,yes,Lancaster,CA
