vendor_id,license_number,name_field,legal_entity_from_description,is_public_dispensary,is_live,offers_storefront,offers_delivery,license_status,flags,city,state,slug
b7fe6057-68ab-4c6c-9086-fedd3ea78081,C9-0000375-LIC,KUSHY CANNABIS DELIVERY,"209 Trading Company, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Stockton,CA,ca-uls-c9-0000375-lic
c4dd0aaa-8b8a-48dc-bbbf-7eca4e1459ba,C9-0000378-LIC,Royal Kush,"Tech Delivery Solutions, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Ventura,CA,ca-uls-c9-0000378-lic
515b2a10-5407-49e5-b452-b17eee987c75,C9-0000388-LIC,"NATURA DELIVERY ONLY DISPENSARY, LLC","Natura Delivery Only Dispensary, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000388-lic
7eefce96-58e1-45e1-9e16-f9d2fa161e46,C9-0000391-LIC,Tahoe Honey Company,Tahoe Honey Company,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Nevada City,CA,ca-uls-c9-0000391-lic
26783799-1005-42c4-be23-85b5bfaee666,C9-0000397-LIC,IHEARTCANNABIS,Innovative Concepts Investments Group,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Ventura,CA,ca-uls-c9-0000397-lic
9a121311-7cc6-41b0-8d5e-27c8480a0644,C9-0000409-LIC,MY NATURAL SOLUTIONS LLC,My Natural Solutions LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000409-lic
fa099edf-5e1b-4489-be60-fb271fce52b9,C9-0000411-LIC,710 LABS,"Asv Eq 3, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000411-lic
9879f9e3-33dd-41f1-9839-34e5b93cfc60,C9-0000414-LIC,Bleu Diamond LLC,Bleu Diamond LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Ventura,CA,ca-uls-c9-0000414-lic
2b61c832-af04-4f7c-a152-cdedbe8fb169,C9-0000423-LIC,X GROUP,West Coast Green Rush LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000423-lic
bf6cd8b7-4c6b-44d3-b00b-28a3cac8db63,C9-0000425-LIC,SEND IT,Aquamarine Green LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Luis Obispo,CA,ca-uls-c9-0000425-lic
cb9c01c1-384b-4ff8-8f42-3b54c039f4d4,C9-0000429-LIC,Lofi,Northern Altruist LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000429-lic
a11477c4-fc01-48d7-9886-b87e643b9ad1,C9-0000431-LIC,Fast Flavors,"Kwiki Bud, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000431-lic
7965806a-7e65-4d06-9796-34c272244a85,C9-0000433-LIC,Cannagram,Boru Co,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000433-lic
f70eefd6-a614-44b7-885a-30807961366b,C9-0000436-LIC,ECOMEDS,Front Door Enterprises LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Ventura,CA,ca-uls-c9-0000436-lic
f1c412f9-ddf8-40c4-af0e-6bc80f9816a4,C9-0000438-LIC,HERB - Eastside,Nickbob LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000438-lic
46fab31d-49f8-4cf4-82d8-5068df60d4b9,C9-0000441-LIC,HEROJO SOLUTIONS LLC,Herojo Solutions LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000441-lic
1981336d-f8f6-4afa-aebd-1f7828d5de27,C9-0000442-LIC,Padre Mu,Pm Oak LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000442-lic
af403c3b-4b3e-4d06-b8f0-f7036a334077,C9-0000445-LIC,HERB - Westside,The Ministry LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000445-lic
eee66583-19fd-470f-ad5a-b1db0ee32273,C9-0000446-LIC,"Sustainable Farms, LLC","Sustainable Farms, LLC",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000446-lic
90e34b78-492d-4dff-b2ba-b1b8b0485d72,C9-0000448-LIC,Jet Room,"Laday & Guerra, General Partnership",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000448-lic
42475450-abe0-451d-888b-be1e7edc4d6e,C9-0000463-LIC,"ERBA DELIVERY, ERBA MARKETS",Erba Delivery-1,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000463-lic
514143ac-2a68-48ce-8c69-f755444d6a79,C9-0000468-LIC,Breez CA LLC,Breez Ca LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000468-lic
c75936ac-de63-4168-ad57-26dccac88a7d,C9-0000474-LIC,"Full Spectrum Group, Inc.","Full Spectrum Group, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000474-lic
c94f9f7d-89d8-4eb6-b0e6-0660eb470ea4,C9-0000478-LIC,The Pink CannaBag,Cannacreative LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Oakland,CA,ca-uls-c9-0000478-lic
babbcc8a-d5e6-4ad5-a953-7c4f39c3dbd8,C9-0000479-LIC,KUSH CONNECT,Collective Strategies Enterprises LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000479-lic
c9e13bd5-8156-46ff-a554-ca5791669721,C9-0000489-LIC,"Montvail, Inc.","Montvail, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Los Angeles,CA,ca-uls-c9-0000489-lic
